id,routine_id,routine_name,step_number,step_description,encouragement,age_group,dlss_domain,requires_adult
38,7,Organize Desk,1,Clear off trash,Awesome job!,11 to 13,Communication/Organization,No
39,7,Organize Desk,2,Stack books,Nice and neat!,11 to 13,Communication/Organization,No
40,7,Organize Desk,3,Put pens in holder,Look how neat!,11 to 13,Communication/Organization,No
41,7,Organize Desk,4,Wipe surface,Nice and neat!,11 to 13,Communication/Organization,No
42,8,Clean Room,1,Pick up toys,Step by step!,8 to 10,Home Management,No
43,8,Clean Room,2,Put clothes in hamper,Everything looks so neat!,8 to 10,Home Management,No
44,8,Clean Room,3,Make bed,Tidy up!,8 to 10,Home Management,No
45,8,Clean Room,4,Vacuum floor,Vroom vroom!,8 to 10,Home Management,No
46,9,Put Away Clothes,1,Take Fold ed clothes,Ready to get started!,8 to 10,Communication/Organization,No
47,9,Put Away Clothes,2,Open drawer,Way to go!,8 to 10,Communication/Organization,No
48,9,Put Away Clothes,3,Place clothes inside,All tucked in!,8 to 10,Communication/Organization,No
49,9,Put Away Clothes,4,Close drawer,That drawer looks so neat!,8 to 10,Communication/Organization,No
50,10,Fold Clothes,1,Gather clean clothes,Ready to Fold !,11 to 13,Dressing,No
51,10,Fold Clothes,2,Lay flat,That looks great!,11 to 13,Dressing,No
52,10,Fold Clothes,3,Fold each item,You're a Fold ing superstar!,11 to 13,Dressing,No
53,10,Fold Clothes,4,Stack neatly,Nice and neat!,11 to 13,Dressing,No
54,11,Put Away Backpack,1,Get backpack,Being organized is awesome!,5 to 7,Communication/Organization,No
55,11,Put Away Backpack,2,Unzip and remove items,Look at you go!,5 to 7,Communication/Organization,No
56,11,Put Away Backpack,3,Put homework on desk,Everything looks so neat!,5 to 7,Communication/Organization,No
57,11,Put Away Backpack,4,Hang backpack,Ready for success!,5 to 7,Communication/Organization,No
58,12,Put Dirty Clothes In Hamper,1,Pick up clothes,High five!,11 to 13,Home Management,No
59,12,Put Dirty Clothes In Hamper,2,Carry to hamper,Thanks for helping out!,11 to 13,Home Management,No
60,12,Put Dirty Clothes In Hamper,3,Place inside,Your clothes will love it here!,11 to 13,Home Management,No
61,13,Help Set The Table,1,Get plates,You are a great helper!,8 to 10,Home Management,No
62,13,Help Set The Table,2,Place on table,Making mealitme special!,8 to 10,Home Management,No
63,13,Help Set The Table,3,Get utensils,Forks and knives and spoons!,8 to 10,Home Management,No
64,13,Help Set The Table,4,Place utensils on table,Thank you for being careful!,8 to 10,Home Management,No
65,13,Help Set The Table,5,Add napkins,Almost ready to eat!,8 to 10,Home Management,No
66,13,Help Set The Table,6,Place napkins on table,Good job!,8 to 10,Home Management,No
67,14,Feed Cat,1,Get cat food,Taking good care of our kitty!,11 to 13,Home Management,No
68,35,Feed Dog,1,Get dog food,Taking good care of our pup!,11 to 13,Home Management,No
69,14,Feed Cat,2,Measure portion,Good job!,11 to 13,Home Management,No
70,35,Feed Dog,2,Measure portion,Feeding the dog is important!,11 to 13,Home Management,No
71,14,Feed Cat,3,Pour into bowl,Into the bowl it goes!,11 to 13,Home Management,No
72,35,Feed Dog,3,Pour into bowl,The dog loves you for feeding him!,11 to 13,Home Management,No
73,14,Feed Cat,4,Refill Water bowl,Cats get thirsty sometimes!,11 to 13,Home Management,No
74,35,Feed Dog,4,Refill Water bowl,Dogs get thirsty sometimes!,11 to 13,Home Management,No
75,14,Feed Cat,5,Put away cat food,Everything in its place!,11 to 13,Home Management,No
76,35,Feed Dog,5,Puy away dog food,Everything in its place!,11 to 13,Home Management,No
77,15,Make Cereal,1,Get cereal,Great choice!,11 to 13,Meal Preparation,No
78,15,Make Cereal,2,Get bowl,Awesome job!,5 to 7,Meal Preparation,Yes
79,15,Make Cereal,3,Get spoon,Way to go!,5 to 7,Meal Preparation,Yes
80,15,Make Cereal,4,Pour milk,I love how careful you're being!,5 to 7,Meal Preparation,Yes
81,15,Make Cereal,5,Add cereal,Yum!,5 to 7,Meal Preparation,Yes
82,15,Make Cereal,6,Put away cereal,Everything in its place!,11 to 13,Meal Preparation,No
83,16,Make Sandwich,1,Get bread,Sandwiches are yummy!,8 to 10,Meal Preparation,No
84,16,Make Sandwich,2,Add filling,You are doing great!,8 to 10,Meal Preparation,No
85,16,Make Sandwich,3,Add top slice,Look at the sandwich!,8 to 10,Meal Preparation,No
86,16,Make Sandwich,4,Place on plate,That looks tasty!,8 to 10,Meal Preparation,No
87,17,Wash Hands,1,Turn on Water ,Way to go!,8 to 10,Personal Hygiene,No
88,17,Wash Hands,2,Wet hands,Washing your hands is important!,8 to 10,Personal Hygiene,No
89,17,Wash Hands,3,Apply soap,Smells good!,8 to 10,Personal Hygiene,No
90,17,Wash Hands,4,Scrub hands,"Scrub, scrub, scrub!",8 to 10,Personal Hygiene,No
91,17,Wash Hands,5,Rinse soap,Let's wash away those germs!,8 to 10,Personal Hygiene,No
92,17,Wash Hands,6,Turn off Water ,Clean hands keep everyone safe!,8 to 10,Personal Hygiene,No
93,17,Wash Hands,7,Dry hands,Nice and dry!,8 to 10,Personal Hygiene,No
94,18,Pick A Bedtime Story,1,Go to bookshelf,Books are a great way to end the day!,5 to 7,Communication/Organization,No
95,18,Pick A Bedtime Story,2,Choose a book,Great choice!,5 to 7,Communication/Organization,No
96,18,Pick A Bedtime Story,3,Show to parent,It's fun to read together!,5 to 7,Communication/Organization,No
97,18,Pick A Bedtime Story,4,Snuggle in bed,Nice and cozy!,5 to 7,Communication/Organization,No
98,19,Brush Teeth,1,Pick up toothbrush,You've got this!,11 to 13,Personal Hygiene,No
99,19,Brush Teeth,2,Apply toothpaste,Brushing your teeth keeps you healthy!,11 to 13,Personal Hygiene,No
100,19,Brush Teeth,3,Brush top teeth,Your smile is getting brighter!,11 to 13,Personal Hygiene,No
101,19,Brush Teeth,4,Brush bottom teeth,You're brushing like a pro!,11 to 13,Personal Hygiene,No
102,19,Brush Teeth,5,Rinse mouth,Fresh breath and clean teeth!,11 to 13,Personal Hygiene,No
103,19,Brush Teeth,6,Put away toothbrush,Everything in its place!,11 to 13,Personal Hygiene,No
104,20,Brush Teeth,1,Pick up toothbrush,You've got this!,5 to 7,Personal Hygiene,Yes
105,20,Brush Teeth,2,Apply toothpaste,Brushing your teeth keeps you healthy!,5 to 7,Personal Hygiene,Yes
106,20,Brush Teeth,3,Brush top teeth,Your smile is getting brighter!,5 to 7,Personal Hygiene,Yes
107,20,Brush Teeth,4,Brush bottom teeth,You're brushing like a pro!,5 to 7,Personal Hygiene,Yes
108,20,Brush Teeth,5,Rinse mouth,Fresh breath and clean teeth!,5 to 7,Personal Hygiene,Yes
109,20,Brush Teeth,6,Put away toothbrush,Everything in its place!,5 to 7,Personal Hygiene,Yes
110,21,Pack Backpack,1,Collect homework,Off to a great start!,8 to 10,Communication/Organization,No
111,21,Pack Backpack,2,Add lunchbox,So proud of you!,8 to 10,Communication/Organization,No
112,21,Pack Backpack,3,Check for supplies,You are so organized!,8 to 10,Communication/Organization,No
113,21,Pack Backpack,4,Zip backpack,You're a packing pro!,8 to 10,Communication/Organization,No
114,21,Pack Backpack,5,Place by door,Ready for success!,8 to 10,Communication/Organization,No
115,22,Help Set The Table,1,Get plates,You are a great helper!,5 to 7,Home Management,Yes
116,22,Help Set The Table,2,Place on table,Making mealitme special!,5 to 7,Home Management,Yes
117,22,Help Set The Table,3,Get utensils,Forks and knives and spoons!,5 to 7,Home Management,Yes
118,22,Help Set The Table,4,Place utensils on table,Thank you for being careful!,5 to 7,Home Management,Yes
119,22,Help Set The Table,5,Add napkins,Almost ready to eat!,5 to 7,Home Management,Yes
120,22,Help Set The Table,6,Place napkins on table,Good job!,5 to 7,Home Management,Yes
121,23,Make Cereal,1,Get cereal,Great choice!,5 to 7,Meal Preparation,Yes
122,23,Make Cereal,2,Get bowl,Awesome job!,11 to 13,Meal Preparation,No
123,23,Make Cereal,3,Get spoon,Way to go!,11 to 13,Meal Preparation,No
124,23,Make Cereal,4,Pour milk,I love how careful you're being!,11 to 13,Meal Preparation,No
125,23,Make Cereal,5,Add cereal,Yum!,11 to 13,Meal Preparation,No
126,23,Make Cereal,6,Put away cereal,Everything in its place!,5 to 7,Meal Preparation,Yes
127,24,Organize Desk,1,Clear off trash,Awesome job!,8 to 10,Communication/Organization,No
128,24,Organize Desk,2,Stack books,Nice and neat!,8 to 10,Communication/Organization,No
129,24,Organize Desk,3,Put pens in holder,Look how neat!,8 to 10,Communication/Organization,No
130,24,Organize Desk,4,Wipe surface,Nice and neat!,8 to 10,Communication/Organization,No
131,25,Clean Room,1,Pick up toys,Step by step!,11 to 13,Home Management,No
132,25,Clean Room,2,Put clothes in hamper,Everything looks so neat!,11 to 13,Home Management,No
133,25,Clean Room,3,Make bed,Tidy up!,11 to 13,Home Management,No
134,25,Clean Room,4,Vacuum floor,Vroom vroom!,11 to 13,Home Management,No
135,26,Put Away Clothes,1,Take Fold ed clothes,Ready to get started!,11 to 13,Communication/Organization,No
136,26,Put Away Clothes,2,Open drawer,Way to go!,11 to 13,Communication/Organization,No
137,26,Put Away Clothes,3,Place clothes inside,All tucked in!,11 to 13,Communication/Organization,No
138,26,Put Away Clothes,4,Close drawer,That drawer looks so neat!,11 to 13,Communication/Organization,No
139,27,Fold Clothes,1,Gather clean clothes,Ready to Fold !,5 to 7,Dressing,Yes
140,27,Fold Clothes,2,Lay flat,That looks great!,5 to 7,Dressing,Yes
141,27,Fold Clothes,3,Fold each item,You're a Fold ing superstar!,5 to 7,Dressing,Yes
142,27,Fold Clothes,4,Stack neatly,Nice and neat!,5 to 7,Dressing,Yes
143,28,Put Dirty Clothes In Hamper,1,Pick up clothes,High five!,5 to 7,Home Management,Yes
144,28,Put Dirty Clothes In Hamper,2,Carry to hamper,Thanks for helping out!,5 to 7,Home Management,Yes
145,28,Put Dirty Clothes In Hamper,3,Place inside,Your clothes will love it here!,5 to 7,Home Management,Yes
146,29,Help Set The Table,1,Get plates,You are a great helper!,11 to 13,Home Management,No
147,29,Help Set The Table,2,Place on table,Making mealitme special!,11 to 13,Home Management,No
148,29,Help Set The Table,3,Get utensils,Forks and knives and spoons!,11 to 13,Home Management,No
149,29,Help Set The Table,4,Place utensils on table,Thank you for being careful!,11 to 13,Home Management,No
150,29,Help Set The Table,5,Add napkins,Almost ready to eat!,11 to 13,Home Management,No
151,29,Help Set The Table,6,Place napkins on table,Good job!,11 to 13,Home Management,No
152,30,Feed Dog,1,Get dog food,Taking good care of our pup!,5 to 7,Home Management,Yes
153,30,Feed Dog,2,Measure portion,Feeding the dog is important!,5 to 7,Home Management,Yes
154,30,Feed Dog,3,Pour into bowl,The dog loves you for feeding him!,5 to 7,Home Management,Yes
155,30,Feed Dog,4,Refill Water bowl,Dogs get thirsty sometimes!,5 to 7,Home Management,Yes
156,30,Feed Dog,5,Puy away dog food,Everything in its place!,5 to 7,Home Management,Yes
157,31,Make Sandwich,1,Get bread,Sandwiches are yummy!,5 to 7,Meal Preparation,Yes
158,31,Make Sandwich,2,Add filling,You are doing great!,5 to 7,Meal Preparation,Yes
159,31,Make Sandwich,3,Add top slice,Look at the sandwich!,5 to 7,Meal Preparation,Yes
160,31,Make Sandwich,4,Place on plate,That looks tasty!,5 to 7,Meal Preparation,Yes
161,32,Make Sandwich,1,Get bread,Sandwiches are yummy!,11 to 13,Meal Preparation,No
162,32,Make Sandwich,2,Add filling,You are doing great!,11 to 13,Meal Preparation,No
163,32,Make Sandwich,3,Add top slice,Look at the sandwich!,11 to 13,Meal Preparation,No
164,32,Make Sandwich,4,Place on plate,That looks tasty!,11 to 13,Meal Preparation,No
165,33,Brush Cat,1,Get cat brush,You're doing great!,8 to 10,Personal Hygiene,No
166,33,Brush Cat,2,Sit near cat calmly,So gentle!,8 to 10,Home Management,No
167,33,Brush Cat,3,Brush cat's back slowly,Nice work!,8 to 10,Home Management,No
168,33,Brush Cat,4,Brush sides gently,Almost done!,8 to 10,Home Management,No
169,33,Brush Cat,5,Give cat a treat,Well done!,8 to 10,Home Management,No
170,34,Brush Cat,1,Get cat brush,You're doing great!,11 to 13,Home Management,No
171,34,Brush Cat,2,Sit near cat calmly,So gentle!,11 to 13,Home Management,No
172,34,Brush Cat,3,Brush cat's back slowly,Nice work!,11 to 13,Home Management,No
173,34,Brush Cat,4,Brush sides gently,Almost done!,11 to 13,Home Management,No
174,34,Brush Cat,5,Give cat a treat,Well done!,11 to 13,Home Management,No
175,36,Bathtime,1,Get towel,Great job getting ready!,8 to 10,Personal Hygiene,No
176,36,Bathtime,2,Get soap,Smells good!,8 to 10,Personal Hygiene,No
177,36,Bathtime,3,Get bath sponge or washcloth,Getting ready!,8 to 10,Personal Hygiene,No
178,36,Bathtime,4,Turn on Water ,Nice and warm!,8 to 10,Personal Hygiene,No
179,36,Bathtime,5,Fill tub with warm Water ,Not too much Water !,8 to 10,Personal Hygiene,No
180,36,Bathtime,6,Turn off Water ,Good job!,8 to 10,Personal Hygiene,No
181,36,Bathtime,7,Get in tub,Time to get clean!,8 to 10,Personal Hygiene,No
182,36,Bathtime,8,Wash body,Making those bubbles work!,8 to 10,Personal Hygiene,No
183,36,Bathtime,9,Rinse,Like a champ!,8 to 10,Personal Hygiene,No
184,36,Bathtime,10,Dry off,So fresh and so clean!,8 to 10,Personal Hygiene,No
185,36,Bathtime,11,Put on clothes,Spiffy!,8 to 10,Personal Hygiene,No
186,37,Pack Backpack,1,Collect homework,Off to a great start!,11 to 13,Communication/Organization,No
187,37,Pack Backpack,2,Add lunchbox,So proud of you!,11 to 13,Communication/Organization,No
188,37,Pack Backpack,3,Check for supplies,You are so organized!,11 to 13,Communication/Organization,No
189,37,Pack Backpack,4,Zip backpack,You're a packing pro!,11 to 13,Communication/Organization,No
190,37,Pack Backpack,5,Place by door,Ready for success!,11 to 13,Communication/Organization,No
191,38,Put Away Backpack,1,Get backpack,Being organized is awesome!,11 to 13,Communication/Organization,No
192,38,Put Away Backpack,2,Unzip and remove items,Look at you go!,11 to 13,Communication/Organization,No
193,38,Put Away Backpack,3,Put homework on desk,Everything looks so neat!,11 to 13,Communication/Organization,No
194,38,Put Away Backpack,4,Hang backpack,Ready for success!,11 to 13,Communication/Organization,No
195,39,Choose Clothes For The Day,1,Check the weather,Smart thinking!,5 to 7,Dressing,Yes
196,39,Choose Clothes For The Day,2,Pick shirt and pants,Nice choice!,5 to 7,Dressing,No
197,39,Choose Clothes For The Day,3,Pick socks and underwear,Almost done!,5 to 7,Dressing,No
198,39,Choose Clothes For The Day,4,Set clothes on bed,You are ready!,5 to 7,Dressing,No
199,40,Organize Desk,1,Clear off trash,Awesome job!,5 to 7,Communication/Organization,Yes
200,40,Organize Desk,2,Stack books,Nice and neat!,5 to 7,Communication/Organization,Yes
201,40,Organize Desk,3,Put pens in holder,Look how neat!,5 to 7,Communication/Organization,Yes
202,40,Organize Desk,4,Wipe surface,Nice and neat!,5 to 7,Communication/Organization,Yes
203,41,Clean Room,1,Pick up toys,Step by step!,5 to 7,Home Management,Yes
204,41,Clean Room,2,Put clothes in hamper,Everything looks so neat!,5 to 7,Home Management,Yes
205,41,Clean Room,3,Make bed,Tidy up!,5 to 7,Home Management,Yes
206,41,Clean Room,4,Vacuum floor,Vroom vroom!,5 to 7,Home Management,Yes
207,42,Put Away Clothes,1,Take Fold ed clothes,Ready to get started!,5 to 7,Communication/Organization,Yes
208,42,Put Away Clothes,2,Open drawer,Way to go!,5 to 7,Communication/Organization,Yes
209,42,Put Away Clothes,3,Place clothes inside,All tucked in!,5 to 7,Communication/Organization,Yes
210,42,Put Away Clothes,4,Close drawer,That drawer looks so neat!,5 to 7,Communication/Organization,Yes
211,43,Choose Clothes For The Day,1,Check the weather,Smart thinking!,8 to 10,Dressing,Yes
212,43,Choose Clothes For The Day,2,Pick shirt and pants,Nice choice!,8 to 10,Dressing,No
213,43,Choose Clothes For The Day,3,Pick socks and underwear,Almost done!,8 to 10,Dressing,No
214,43,Choose Clothes For The Day,4,Set clothes on bed,You are ready!,8 to 10,Dressing,No
215,44,Choose Clothes For The Day,1,Check the weather,Smart thinking!,11 to 13,Dressing,Yes
216,44,Choose Clothes For The Day,2,Pick shirt and pants,Nice choice!,11 to 13,Dressing,No
217,44,Choose Clothes For The Day,3,Pick socks and underwear,Almost done!,11 to 13,Dressing,No
218,44,Choose Clothes For The Day,4,Set clothes on bed,You are ready!,11 to 13,Dressing,No
219,45,Catch Schoolbus,1,Get backpack ready,You're on time!,5 to 7,Community/School Related,Yes
220,45,Catch Schoolbus,2,Put on shoes and coat,Almost there!,5 to 7,Community/School Related,Yes
221,45,Catch Schoolbus,3,Wait at the bus stop,Good job waiting!,5 to 7,Community/School Related,Yes
222,45,Catch Schoolbus,4,Get on the bus safely,You did it!,5 to 7,Community/School Related,Yes
223,46,Feed Cat,1,Get cat food,Taking good care of our kitty!,8 to 10,Home Management,No
224,46,Feed Cat,2,Measure portion,Good job!,8 to 10,Home Management,No
225,46,Feed Cat,3,Pour into bowl,Into the bowl it goes!,8 to 10,Home Management,No
226,46,Feed Cat,4,Refill Water bowl,Cats get thirsty sometimes!,8 to 10,Home Management,No
227,46,Feed Cat,5,Put away cat food,Everything in its place!,8 to 10,Home Management,No
228,49,Wash Hands,1,Turn on Water ,Way to go!,11 to 13,Personal Hygiene,No
229,49,Wash Hands,2,Wet hands,Washing your hands is important!,11 to 13,Personal Hygiene,No
230,49,Wash Hands,3,Apply soap,Smells good!,11 to 13,Personal Hygiene,No
231,49,Wash Hands,4,Scrub hands,"Scrub, scrub, scrub!",11 to 13,Personal Hygiene,No
232,49,Wash Hands,5,Rinse soap,Let's wash away those germs!,11 to 13,Personal Hygiene,No
233,49,Wash Hands,6,Turn off Water ,Clean hands keep everyone safe!,11 to 13,Personal Hygiene,No
234,49,Wash Hands,7,Dry hands,Nice and dry!,11 to 13,Personal Hygiene,No
235,50,Catch Schoolbus,1,Get backpack ready,You're on time!,8 to 10,Community/School Related,Yes
236,50,Catch Schoolbus,2,Put on shoes and coat,Almost there!,8 to 10,Community/School Related,Yes
237,50,Catch Schoolbus,3,Wait at the bus stop,Good job waiting!,8 to 10,Community/School Related,Yes
238,50,Catch Schoolbus,4,Get on the bus safely,You did it!,8 to 10,Community/School Related,Yes
239,51,Catch Schoolbus,1,Get backpack ready,You're on time!,11 to 13,Community/School Related,Yes
240,51,Catch Schoolbus,2,Put on shoes and coat,Almost there!,11 to 13,Community/School Related,Yes
241,51,Catch Schoolbus,3,Wait at the bus stop,Good job waiting!,11 to 13,Community/School Related,Yes
242,51,Catch Schoolbus,4,Get on the bus safely,You did it!,11 to 13,Community/School Related,Yes
243,52,Charge Tablet/Device,1,Find charger,Great memory!,8 to 10,Communication/Organization,No
244,52,Charge Tablet/Device,2,Plug charger into wall,Nice job!,8 to 10,Communication/Organization,No
245,52,Charge Tablet/Device,3,Plug cable into tablet,Almost done!,8 to 10,Communication/Organization,No
246,52,Charge Tablet/Device,4,Make sure it’s charging,All set!,8 to 10,Communication/Organization,No
247,53,Charge Tablet/Device,1,Find charger,Great memory!,11 to 13,Communication/Organization,No
248,53,Charge Tablet/Device,2,Plug charger into wall,Nice job!,11 to 13,Communication/Organization,No
249,53,Charge Tablet/Device,3,Plug cable into tablet,Almost done!,11 to 13,Communication/Organization,No
250,53,Charge Tablet/Device,4,Make sure it’s charging,All set!,11 to 13,Communication/Organization,No
251,54,Brush Dog,1,Get the dog brush,You're getting ready!,8 to 10,Home Management,No
252,54,Brush Dog,2,Ask the dog to sit,Great asking skills!,8 to 10,Home Management,Yes
253,54,Brush Dog,3,Gently brush the dog's back,You're doing awesome!,8 to 10,Home Management,Yes
254,54,Brush Dog,4,Brush behind ears and legs,Keep it gentle!,8 to 10,Home Management,Yes
255,54,Brush Dog,5,Put the brush away,All done—great work!,8 to 10,Home Management,No
256,55,Pick A Bedtime Story,1,Go to bookshelf,Books are a great way to end the day!,11 to 13,Communication/Organization,No
257,55,Pick A Bedtime Story,2,Choose a book,Great choice!,11 to 13,Communication/Organization,No
258,55,Pick A Bedtime Story,3,Show to parent,It's fun to read together!,11 to 13,Communication/Organization,No
259,55,Pick A Bedtime Story,4,Snuggle in bed,Nice and cozy!,11 to 13,Communication/Organization,No
260,56,Brush Dog,1,Get the dog brush,You're getting ready!,11 to 13,Home Management,No
261,56,Brush Dog,2,Ask the dog to sit,Great asking skills!,11 to 13,Home Management,Yes
262,56,Brush Dog,3,Gently brush the dog's back,You're doing awesome!,11 to 13,Home Management,Yes
263,56,Brush Dog,4,Brush behind ears and legs,Keep it gentle!,11 to 13,Home Management,Yes
264,56,Brush Dog,5,Put the brush away,All done—great work!,11 to 13,Home Management,No
265,57,Brush Dog,1,Get the dog brush,You're getting ready!,5 to 7,Home Management,No
266,57,Brush Dog,2,Ask the dog to sit,Great asking skills!,5 to 7,Home Management,Yes
267,57,Brush Dog,3,Gently brush the dog's back,You're doing awesome!,5 to 7,Home Management,Yes
268,57,Brush Dog,4,Brush behind ears and legs,Keep it gentle!,5 to 7,Home Management,Yes
269,57,Brush Dog,5,Put the brush away,All done—great work!,5 to 7,Home Management,No
270,58,Check Calendar,1,Find your calendar,Let's plan your day!,11 to 13,Communication/Organization,No
271,58,Check Calendar,2,Look at today’s date,You're focUse d!,11 to 13,Communication/Organization,No
272,58,Check Calendar,3,Read your schedule,Almost there!,11 to 13,Communication/Organization,No
273,58,Check Calendar,4,Decide what to do first,You’ve got a plan!,11 to 13,Communication/Organization,No
274,59,Fold Clothes,1,Gather clean clothes,Ready to Fold !,8 to 10,Dressing,No
275,59,Fold Clothes,2,Lay flat,That looks great!,8 to 10,Dressing,No
276,59,Fold Clothes,3,Fold each item,You're a Fold ing superstar!,8 to 10,Dressing,No
277,59,Fold Clothes,4,Stack neatly,Nice and neat!,8 to 10,Dressing,No
278,60,Put Dirty Clothes In Hamper,1,Pick up clothes,High five!,8 to 10,Home Management,No
279,60,Put Dirty Clothes In Hamper,2,Carry to hamper,Thanks for helping out!,8 to 10,Home Management,No
280,60,Put Dirty Clothes In Hamper,3,Place inside,Your clothes will love it here!,8 to 10,Home Management,No
281,61,Check Calendar,1,Find your calendar,Let's plan your day!,8 to 10,Communication/Organization,No
282,61,Check Calendar,2,Look at today’s date,You're focUse d!,8 to 10,Communication/Organization,No
283,61,Check Calendar,3,Read your schedule,Almost there!,8 to 10,Communication/Organization,No
284,61,Check Calendar,4,Decide what to do first,You’ve got a plan!,8 to 10,Communication/Organization,No
285,62,Feed Cat,1,Get cat food,Taking good care of our kitty!,5 to 7,Home Management,Yes
286,62,Feed Cat,2,Measure portion,Good job!,5 to 7,Home Management,Yes
287,62,Feed Cat,3,Pour into bowl,Into the bowl it goes!,5 to 7,Home Management,Yes
288,62,Feed Cat,4,Refill Water bowl,Cats get thirsty sometimes!,5 to 7,Home Management,Yes
289,62,Feed Cat,5,Put away cat food,Everything in its place!,5 to 7,Home Management,Yes
290,63,Make Cereal,1,Get cereal,Great choice!,8 to 10,Meal Preparation,No
291,63,Make Cereal,2,Get bowl,Awesome job!,8 to 10,Meal Preparation,No
292,63,Make Cereal,3,Get spoon,Way to go!,8 to 10,Meal Preparation,No
293,63,Make Cereal,4,Pour milk,I love how careful you're being!,8 to 10,Meal Preparation,No
294,63,Make Cereal,5,Add cereal,Yum!,8 to 10,Meal Preparation,No
295,63,Make Cereal,6,Put away cereal,Everything in its place!,8 to 10,Meal Preparation,No
296,64,Check School Fold er,1,Take out the Fold er,Great start!,8 to 10,Communication/Organization,No
297,64,Check School Fold er,2,Open and look inside,You're being responsible!,8 to 10,Communication/Organization,No
298,64,Check School Fold er,3,Pull out important papers,You’re doing great!,8 to 10,Communication/Organization,No
299,64,Check School Fold er,4,Show signed papers to adult,Almost done!,8 to 10,Communication/Organization,Yes
300,65,Clean Litterbox,1,Get gloves and scooper,Ready to go!,11 to 13,Home Management,No
301,65,Clean Litterbox,2,Scoop out clumps into trash bag,You’re doing it!,11 to 13,Home Management,No
302,65,Clean Litterbox,3,Add fresh litter if needed,Almost done!,11 to 13,Home Management,No
303,65,Clean Litterbox,4,Seal and throw away trash,Good work!,11 to 13,Home Management,No
